"GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"G17001109653001","170119653001","82","8"
"G17001109653002","170119653002","74","7"
"G17001109653003","170119653003","75","7"
"G17001109654001","170119654001","85","9"
"G17001109654002","170119654002","83","8"
"G17001109654003","170119654003","60","6"
"G17001109655001","170119655001","89","9"
"G17001109655002","170119655002","49","4"
"G17001109655003","170119655003","91","9"
"G17001109655004","170119655004","73","7"
"G17001109656001","170119656001","85","9"
"G17001109656002","170119656002","84","9"
"G17001109656003","170119656003","80","8"
"G17001109656004","170119656004","86","9"
"G17001309512001","170139512001","77","8"
"G17001309512002","170139512002","77","8"
"G17001309512003","170139512003","77","8"
"G17001309513001","170139513001","48","4"
"G17001309513002","170139513002","57","5"
"G17001509601001","170159601001","49","4"
"G17001509601002","170159601002","84","9"
"G17001509601003","170159601003","84","9"
"G17001509601004","170159601004","84","9"
"G17001509602001","170159602001","63","6"
"G17001509602002","170159602002","75","7"
"G17001509603001","170159603001","93","10"
"G17001509603002","170159603002","97","10"
"G17001509603003","170159603003","91","9"
"G17001509603004","170159603004","93","10"
"G17001509604001","170159604001","85","9"
"G17001509604002","170159604002","89","9"
"G17001509604003","170159604003","83","8"
"G17001509605001","170159605001","80","8"
"G17001509605002","170159605002","74","7"
"G17001509605003","170159605003","87","9"
"G17001509606001","170159606001","78","8"
"G17001509606002","170159606002","GQ","GQ"
"G17001709601001","170179601001","87","9"
"G17001709601002","170179601002","82","8"
"G17001709601003","170179601003","79","8"
"G17001709602001","170179602001","90","9"
"G17001709602002","170179602002","85","9"
"G17001709602003","170179602003","79","8"
"G17001709603001","170179603001","56","5"
"G17001709603002","170179603002","78","8"
"G17001709603003","170179603003","92","10"
"G17001709604001","170179604001","87","9"
"G17001709604002","170179604002","96","10"
"G17001709605001","170179605001","90","9"
"G17001709605002","170179605002","85","9"
"G17001709605003","170179605003","92","10"
"G17001900002001","170190002001","97","10"
"G17001900002002","170190002002","98","10"
"G17001900003011","170190003011","QDI","QDI"
"G17001900003012","170190003012","83","8"
"G17001900003013","170190003013","83","8"
"G17001900003021","170190003021","81","8"
"G17001900003022","170190003022","81","8"
"G17001900003023","170190003023","QDI","QDI"
"G17001900004011","170190004011","GQ","GQ"
"G17001900004012","170190004012","GQ","GQ"
"G17001900004021","170190004021","83","8"
"G17001900004022","170190004022","GQ","GQ"
"G17001900005001","170190005001","72","7"
"G17001900005002","170190005002","39","3"
"G17001900005003","170190005003","55","5"
"G17001900005004","170190005004","50","5"
"G17001900007001","170190007001","99","10"
"G17001900007002","170190007002","92","10"
"G17001900007003","170190007003","92","10"
"G17001900008001","170190008001","67","7"
"G17001900008002","170190008002","69","7"
"G17001900008003","170190008003","61","6"
"G17001900008004","170190008004","55","5"
"G17001900009011","170190009011","93","10"
"G17001900009012","170190009012","92","10"
"G17001900009013","170190009013","94","10"
"G17001900009014","170190009014","94","10"
